Time   ID     DLC Data                    Comment
00.000 1AE      2 FB FF                   
00.000 302      7 FF FB FF 7F F8 FF FF    
00.000 0D9      8 33 F7 00 10 00 E0 7F C0 
00.000 199      6 FF FB C9 7E FF BF       
00.000 19A      6 FF FB F3 7E FF 8F       
00.000 19F      6 FF FB FF 7F 94 A0       
00.000 0A5      8 70 07 B4 47 7B 00 00 71 
00.000 173      8 8C F4 00 0E E0 00 0E 00 
00.000 1C4      7 00 00 00 00 2B 20 62    
00.000 1A1      5 33 C6 00 00 8A          
00.000 1C5      7 00 00 00 00 2B 20 62    
00.000 1E0      8 E3 07 F1 11 29 11 11 F1 
00.000 578      8 00 00 00 00 00 00 00 78 
00.000 3FB      7 C3 15 01 10 01 0A FF    
00.000 302      7 FF FD FF 7F F8 FF FF    
00.000 0D9      8 32 F9 00 10 00 E0 7F C0 
00.000 2EB      8 EA F7 12 11 11 51 F1 FF 
00.000 199      6 FF FD BC 7E FF BF       
00.000 1E1      6 87 FE 04 FF FF FF       
00.000 289      8 FF FF FF FF FF 00 EC 01 
00.000 0A5      8 71 09 B4 47 7B 00 00 71 
00.000 1C4      7 00 00 00 00 2D 20 72    
00.000 0F3      8 38 0D 00 C0 F0 C4 FF FF 
00.000 302      7 FF F0 FF 7F F8 FF FF    
00.000 0D9      8 88 FB 00 10 00 E0 7F C0 
00.000 199      6 FF F0 AF 7E FF BF       
00.000 19A      6 FF F0 F3 7E FF 8F       
00.000 19F      6 FF F0 FD 7F 88 A0       
00.000 257      8 93 01 FF FF FF FF FF FF 
00.000 5E1      8 01 03 B9 FF FF FF FF FF 
00.000 0A5      8 CB 0B B4 47 7B 00 00 71 
00.000 1C4      7 00 00 00 00 2F 20 82    
00.000 1C5      7 00 00 00 00 2F 20 82    
00.000 1A1      5 C6 C8 00 00 8A          
00.000 0EC      8 FF FF FF FF 00 0F FC FF 
00.000 572      8 00 00 00 00 00 00 00 72 
00.000 2C5      7 52 C6 00 20 06 20 0A    
00.000 0D9      8 5B FD 00 10 00 E0 7F C0 
00.000 302      7 FF F2 FF 7F F8 FF FF    
00.000 297      7 06 E5 F0 FF F0 F0 FC    
00.000 199      6 FF F2 BC 7E FF BF       
00.000 3FB      7 C3 17 01 10 01 0B FF    
00.000 0A5      8 18 0D B4 47 7B 00 00 71 
00.000 1C4      7 00 00 00 00 31 20 92    
00.000 1A1      5 5B C9 00 00 8A          
00.000 0F3      8 DE 00 00 C0 F0 C4 FF FF 
00.000 349      5 58 11 9A 10 00          
00.000 2E5      8 26 FD 11 11 11 11 11 11 
00.000 130      5 00 F0 FC FF FF          
00.000 12F      8 28 28 86 1C F1 05 30 02 
00.000 0D9      8 BD F0 00 10 00 E0 7F C0 
00.000 199      6 FF F4 B5 7E FF BF       
00.000 0A5      8 FE 00 B4 47 7B 00 00 71 
00.000 0F3      8 DE 00 00 C0 F0 C4 FF FF 
00.000 1C4      7 00 00 00 00 33 20 A2    
00.000 1C5      7 00 00 00 00 33 20 A2    
00.000 1A1      5 E1 CA 00 00 8A          
00.000 257      8 74 02 FF FF FF FF FF FF 
00.000 1AE      2 FB FF                   
00.000 302      7 FF F6 FF 7F F8 FF FF    
00.000 0D9      8 07 F2 00 10 00 E0 7F C0 
00.000 199      6 FF F6 C5 7E FF BF       
00.000 19A      6 FF F6 F3 7E FF 8F       
00.000 2BF      3 FF FF FF                
00.000 19F      6 FF F6 0B 80 79 A0       
00.000 1A6      8 00 00 00 00 00 00 00 FA 
00.000 0A5      8 44 02 B4 47 7B 00 00 71 
00.000 173      8 E4 FE 00 0E E0 00 0E 00 
00.000 1C4      7 00 00 00 00 35 20 B2    
00.000 1A1      5 7C CB 00 00 8A          
00.000 1E0      8 BF 08 F1 11 29 11 11 F1 
00.000 3FB      7 C3 19 01 10 01 0C FF    
00.000 302      7 FF F8 FF 7F F8 FF FF    
00.000 0D9      8 D4 F4 00 10 00 E0 7F C0 
00.000 314      3 11 02 FF                
00.000 199      6 FF F8 C0 7E FF BF       
00.000 19A      6 FF F8 F3 7E FF 8F       
00.000 289      8 FF FF FF FF FF 00 EC 01 
00.000 0A5      8 97 04 B4 47 7B 00 00 71 
00.000 1C4      7 00 00 00 00 37 20 C2    
00.000 1A1      5 88 CC 00 00 8A          
00.000 1C5      7 00 00 00 00 37 20 C2    
00.000 302      7 FF FA FF 7F F8 FF FF    
00.000 0D9      8 6E F6 00 10 00 E0 7F C0 
00.000 199      6 FF FA AC 7E FF BF       
00.000 19A      6 FF FA F3 7E FF 8F       
00.000 19F      6 FF FA 08 80 70 A0       
00.000 257      8 29 03 FF FF FF FF FF FF 
00.000 0A5      8 2D 06 B4 47 7B 00 00 71 
00.000 1C4      7 00 00 00 00 39 20 D2    
00.000 1A1      5 15 CD 00 00 8A          
00.000 0D9      8 33 F7 00 10 00 E0 7F C0 
00.000 1C5      7 00 00 00 00 39 20 D2    
00.000 1A0      8 00 80 FB AF FF 00 F0 FF 
00.000 2F3      8 FF 7F 00 80 B4 7E F3 7E 
00.000 2C5      7 14 C7 00 20 06 20 0A    
00.000 302      7 FF FC FF 7F F8 FF FF    
00.000 0D9      8 6F F8 00 10 00 E0 7F C0 
00.000 199      6 FF FC C0 7E FF BF       
00.000 19A      6 FF FC F3 7E FF 8F       
00.000 19F      6 FF FC F3 7F 6C A0       
00.000 304      6 F3 FF 62 2E FF FF       
00.000 3FB      7 C3 1B 01 10 01 0D FF    
00.000 1C4      7 00 00 00 00 3B 20 E2    
00.000 0A5      8 2C 08 B4 47 7B 00 00 71 
00.000 1A1      5 AF CE 00 00 8A          
00.000 12F      8 75 29 86 1C F1 05 30 02 
00.000 130      5 00 F0 FC FF FF          
00.000 28E      2 01 80                   
00.000 2BB      5 9A F6 00 00 F2          
00.000 163      8 FF FF 01 A5 FF FF FF FF 
00.000 0D9      8 D5 FA 00 10 00 E0 7F C0 
00.000 19A      6 FF FE F3 7E FF 8F       
00.000 199      6 FF FE B6 7E FF BF       
00.000 0A5      8 96 0A B4 47 7B 00 00 71 
00.000 0F3      8 EA 05 00 C0 F0 C4 FF FF 
00.000 1C4      7 00 00 00 00 3D 20 02    
00.000 1A1      5 5A C0 00 00 8A          
00.000 257      8 A7 04 FF FF FF FF FF FF 
00.000 1AE      2 FB FF                   
00.000 302      7 FF F1 FF 7F F8 FF FF    
00.000 0D9      8 06 FC 00 10 00 E0 7F C0 
00.000 199      6 FF F1 BD 7E FF BF       
00.000 19A      6 FF F1 F3 7E FF 8F       
00.000 19F      6 FF F1 FB 7F 63 A0       
00.000 2BF      3 FF FF FF                
00.000 1A6      8 00 00 00 00 00 00 90 FB 
00.000 0A5      8 45 0C B4 47 7B 00 00 71 
00.000 173      8 6A F9 00 0E E0 00 0E 00 
00.000 1C4      7 00 00 00 00 3F 20 12    
00.000 1A1      5 C7 C1 00 00 8A          
00.000 1E0      8 E2 09 F1 11 29 11 11 F1 
00.000 1FB      8 02 09 F1 FF 29 11 11 7F 
00.000 3FB      7 C3 1D 01 10 01 0E FF    
00.000 302      7 FF F3 FF 7F F8 FF FF    
00.000 0D9      8 BC FE 00 10 00 E0 7F C0 
00.000 2EB      8 B6 F8 12 11 11 51 F1 FF 
00.000 199      6 FF F3 B8 7E FF BF       
00.000 289      8 FF FF FF FF FF 00 EC 01 
00.000 1E1      6 91 F0 04 FF FF FF       
00.000 0A5      8 FF 0E B4 47 7B 00 00 71 
00.000 1C4      7 00 00 00 00 41 20 22    
00.000 0F3      8 0C 08 00 C0 F0 C4 FF FF 
00.000 302      7 FF F5 FF 7F F8 FF FF    
00.000 0D9      8 E0 F1 00 10 00 E0 7F C0 
00.000 199      6 FF F5 B3 7E FF BF       
00.000 19A      6 FF F5 F3 7E FF 8F       
00.000 19F      6 FF F5 FA 7F 5C A0       
00.000 510      8 00 00 00 00 FF FF 00 10 
00.000 2F4      2 00 00                   
00.000 257      8 FA 05 FF FF FF FF FF FF 
00.000 0A5      8 A3 01 B4 47 7B 00 00 71 
00.000 1C4      7 00 00 00 00 43 20 32    
00.000 1A1      5 E0 C3 00 00 8A          
00.000 0F3      8 51 09 00 C0 F0 C4 FF FF 
00.000 2C5      7 D1 C8 00 20 06 20 0A    
00.000 302      7 FF F7 FF 7F F8 FF FF    
00.000 0D9      8 5A F3 00 10 00 E0 7F C0 
00.000 199      6 FF F7 B9 7E FF BF       
00.000 19A      6 FF F7 F3 7E FF 8F       
00.000 2C4      8 00 00 FF 64 64 64 01 F0 
00.000 19F      6 FF F7 07 80 58 A0       
00.000 3FB      7 C3 1F 01 10 01 0F FF    
00.000 0A5      8 19 03 B4 47 7B 00 00 71 
00.000 1C4      7 00 00 00 00 45 20 42    
00.000 1A1      5 14 C4 00 00 8A          
00.000 297      7 CC E6 F0 FF F0 F0 FC    
00.000 349      5 58 11 9A 10 00          
00.000 12F      8 92 2A 86 1C F1 05 30 02 
00.000 28E      2 00 80                   
00.000 2E5      8 C1 FE 11 11 11 11 11 11 
00.000 0D9      8 89 F5 00 10 00 E0 7F C0 
00.000 314      3 11 02 FF                
